Species_Code;Species_Name;French_Name;Order;Family;Category;Species_Code_SAMM;SS_Group_OWFSOMM;Group_OWFSOMM;Color
LAFUS;Larus fuscus;Goeland brun;Charadriiformes;Larides;ESPECE OISEAU;LARFUS;Black gull;Gull;#7ae582
LARFXM;Larus fuscus/marinus;Goeland brun/marin;Charadriiformes;Larides;GENRE OISEAU;BLAGUL;Black gull;Gull;#7ae582
LAMAR;Larus marinus;Goeland marin;Charadriiformes;Larides;ESPECE OISEAU;LARMAR;Black gull;Gull;#7ae582
LAARG;Larus argentatus;Goeland argente;Charadriiformes;Larides;ESPECE OISEAU;LARARG;Grey gull;Gull;#7ae582
LARAXC;Larus argentatus/cachinnans;Goeland argente/leucophee;Charadriiformes;Larides;GENRE OISEAU;GREGUL;Grey gull;Gull;#7ae582
LARAXF;Larus argentatus/fuscus;Goeland argente/brun;Charadriiformes;Larides;GENRE OISEAU;LARAXF;Large gull;Gull;#7ae582
LARGUL;Large Larus spp;Grand Larus;Charadriiformes;Larides;GENRE OISEAU;LARGUL;Large gull;Gull;#7ae582
LACAN;Larus canus;Goeland cendre;Charadriiformes;Larides;ESPECE OISEAU;LARCAN;Med gull;Gull;#7ae582
LARCHR;Larus/Chroicocephalus spp;Goeland/Mouette rieuse;Charadriiformes;Larides;GENRE OISEAU;LARCHR;Other gull;Gull;#7ae582
LARCXT;Larus canus/Rissa tridactyla;Goeland cendre/Mouette tridactyle;Charadriiformes;Larides;GENRE OISEAU;LARCXT;Other gull;Gull;#7ae582
LARSPP;Laridae spp;Larides sp;Charadriiformes;Larides;GENRE OISEAU;LARSPP;Other gull;Gull;#7ae582
LARLAR;Larus spp;Goeland sp;Charadriiformes;Larides;GENRE OISEAU;LARLAR;Other gull;Gull;#7ae582
STECHR;Sterna/Chroicocephalus spp;Sterne/Mouette rieuse;Charadriiformes;Larides;GENRE OISEAU;STECHR;Other gull;Gull;#7ae582
LARACC;Larus argentatus/cachinnans/canus;Goeland argente/leucophee/cendre;Charadriiformes;Larides;GENRE OISEAU;LARACC;Other gull;Gull;#7ae582
CHRICH;Chroicocephalus ridibundus/Ichthyaetus melanocephalus;Mouette rieuse/Mouette melanocephale ;Charadriiformes;Larides;ESPECE OISEAU;CHRICH;Small gull;Gull;#7ae582
